,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
73,scarborough,54.2797,-0.4044,37.0,75,79,3.0,GB,1612152712
74,griffith,41.5284,-87.4237,33.8,64,90,10.36,US,1612152713
75,rocha,-34.4833,-54.3333,67.89,83,100,8.79,UY,1612152470
76,san jose,37.3394,-121.895,57.2,58,75,2.1,US,1612152222
77,tautira,-17.7333,-149.15,86.0,58,75,6.91,PF,1612152714
78,saint george,37.1041,-113.5841,48.99,46,1,3.44,US,1612152395
79,ballitoville,-29.539,31.2144,80.01,73,75,14.97,ZA,1612152714
80,yerbogachen,61.2767,108.0108,-30.55,81,70,5.88,RU,1612152474
81,lebu,-37.6167,-73.65,56.71,87,19,12.93,CL,1612152477
82,olafsvik,64.8945,-23.7142,32.11,92,100,12.39,IS,1612152431
83,mount gambier,-37.8333,140.7667,66.2,59,90,18.41,AU,1612152484
84,prattville,32.464,-86.4597,51.8,66,90,10.36,US,1612152715
85,hamilton,39.1834,-84.5333,33.01,93,90,13.8,US,1612152425
86,san jose,37.3394,-121.895,57.2,58,75,2.1,US,1612152222
87,tocopilla,-22.092,-70.1979,66.99,67,6,6.93,CL,1612152491
88,carnarvon,-24.8667,113.6333,105.8,13,26,17.27,AU,1612152455
89,jawa,31.8525,35.9393,42.8,93,0,7.96,JO,1612152715
90,arandis,-22.4167,14.9667,66.0,88,91,1.01,NA,1612152716
91,saldanha,-33.0117,17.9442,63.23,75,34,21.43,ZA,1612152487
92,caravelas,-17.7125,-39.2481,74.59,86,3,5.01,BR,1612152476
93,saint anthony,45.0205,-93.218,30.2,69,90,9.22,US,1612152448
94,saint-philippe,-21.3585,55.7679,84.2,51,0,8.05,RE,1612152432
95,port keats,-14.25,129.55,80.46,81,100,4.47,AU,1612152716
96,tasiilaq,65.6145,-37.6368,14.0,62,90,2.3,GL,1612152442
97,praia da vitoria,38.7333,-27.0667,64.4,100,75,30.89,PT,1612152494
98,talnakh,69.4865,88.3972,-15.92,79,100,8.86,RU,1612152463
99,alyangula,-13.8483,136.4192,89.6,66,40,9.22,AU,1612152717
100,russell,32.3502,-85.1999,55.4,88,90,9.22,US,1612152565
101,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
102,inhambane,-23.865,35.3833,79.5,86,3,9.04,MZ,1612152430
103,narsaq,60.9167,-46.05,39.2,35,75,8.05,GL,1612152718
104,benton harbor,42.1167,-86.4542,30.99,64,90,4.61,US,1612152718
105,dingzhou,38.5131,114.9956,41.0,45,0,2.24,CN,1612152718
106,sorong,-0.8833,131.25,83.28,77,99,8.48,ID,1612152316
107,calderitas,18.55,-88.25,74.68,87,0,4.81,MX,1612152718
108,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
109,ribeira grande,38.5167,-28.7,63.46,84,95,33.31,PT,1612152247
110,la libertad,-2.2333,-80.9,78.55,81,99,13.35,EC,1612152719
111,maneadero,31.7167,-116.5667,55.0,81,88,0.96,MX,1612152719
112,barrow,71.2906,-156.7887,-14.8,76,1,11.5,US,1612152399
113,kaitangata,-46.2817,169.8464,66.99,63,7,8.01,NZ,1612152447
114,tuatapere,-46.1333,167.6833,66.22,65,66,5.82,NZ,1612152538
115,ponta do sol,32.6667,-17.1,55.99,52,0,1.99,PT,1612152462
116,broken hill,-31.95,141.4333,87.8,18,100,14.97,AU,1612152453
117,port augusta,-32.5,137.7667,73.4,56,93,25.32,AU,1612152480
118,sa kaeo,13.75,102.3333,87.87,38,20,11.3,TH,1612152672
119,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
120,port elizabeth,-33.918,25.5701,66.2,77,40,16.11,ZA,1612152398
121,ballina,-28.8667,153.5667,82.4,57,40,12.66,AU,1612152720
122,hays,30.0502,-98.0336,52.0,62,0,3.0,US,1612152721
123,new norfolk,-42.7826,147.0587,75.99,44,100,1.99,AU,1612152437
124,duiwelskloof,-23.6934,30.14,67.96,91,86,1.97,ZA,1612152721
125,lappeenranta,61.0587,28.1887,19.99,91,100,6.8,FI,1612152721
126,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
127,tura,25.5198,90.2201,70.45,36,0,1.88,IN,1612152721
128,alice springs,-23.7,133.8833,98.6,20,0,13.8,AU,1612152495
129,hofn,64.2539,-15.2082,26.76,85,8,7.43,IS,1612152440
130,lumut,4.2323,100.6298,82.4,78,20,3.44,MY,1612152722
131,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
132,primorsk,46.7348,36.3443,41.05,91,100,9.98,UA,1612152722
133,kangaatsiaq,68.3065,-53.4641,3.43,92,100,10.96,GL,1612152722
134,mar del plata,-38.0023,-57.5575,64.0,72,75,10.36,AR,1612152415
135,melville,40.7934,-73.4151,27.0,86,90,9.22,US,1612152356
136,sechura,-5.5569,-80.8222,75.56,68,75,13.76,PE,1612152714
137,port macquarie,-31.4333,152.9167,84.0,52,4,4.0,AU,1612152174
138,severo-kurilsk,50.6789,156.125,21.63,93,99,42.26,RU,1612152499
139,kemijarvi,66.7131,27.4306,8.49,95,85,4.99,FI,1612152723
140,katherine,-14.4667,132.2667,89.6,58,40,4.61,AU,1612152724
141,vao,-22.6667,167.4833,75.83,77,100,24.56,NC,1612152724
142,guerrero negro,27.9769,-114.0611,64.04,56,100,2.39,MX,1612152167
143,chernyshevskiy,63.0128,112.4714,-31.45,85,91,2.71,RU,1612152724
144,callaguip,18.0714,120.4867,80.6,65,75,5.75,PH,1612152724
145,nouadhibou,20.931,-17.0347,64.4,77,0,17.27,MR,1612152724
146,hasaki,35.7333,140.8333,48.2,61,75,2.3,JP,1612152442
147,teguldet,57.3064,88.1667,-11.52,86,100,6.82,RU,1612152725
148,saint george,37.1041,-113.5841,48.99,46,1,3.44,US,1612152395
149,eisenberg,50.9667,11.9,26.01,87,94,6.06,DE,1612152725
150,siavonga,-16.5382,28.7088,73.4,90,100,6.35,ZM,1612152725
151,kuala terengganu,5.3302,103.1408,80.6,83,40,5.75,MY,1612152725
152,haines junction,60.7522,-137.5108,3.2,66,100,9.22,CA,1612152432
153,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
154,grand gaube,-20.0064,57.6608,82.0,78,16,10.0,MU,1612152463
155,sao filipe,14.8961,-24.4956,72.59,68,0,8.34,CV,1612152469
156,albion,42.2431,-84.753,26.6,80,90,9.22,US,1612152726
157,ahuimanu,21.4447,-157.8378,77.0,64,20,8.05,US,1612152726
158,shishou,29.7226,112.419,52.48,77,96,3.36,CN,1612152727
159,flinders,-34.5833,150.8552,84.0,67,56,4.0,AU,1612152497
160,kuytun,54.3419,101.5036,-26.1,84,7,3.27,RU,1612152562
161,lagoa,39.05,-27.9833,61.74,87,100,21.72,PT,1612152727
162,loubomo,-4.1997,12.6739,70.38,97,98,2.04,CG,1612152727
163,novikovo,51.1537,37.8879,23.56,96,87,4.88,RU,1612152727
164,castro,-24.7911,-50.0119,63.86,95,83,2.19,BR,1612152436
165,aykhal,66.0,111.5,-40.67,78,100,9.48,RU,1612152508
166,new norfolk,-42.7826,147.0587,75.99,44,100,1.99,AU,1612152437
167,port blair,11.6667,92.75,82.72,69,0,17.63,IN,1612152480
168,lahaina,20.8783,-156.6825,73.4,68,40,14.97,US,1612152728
169,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
170,miraflores,19.2167,-98.8083,55.4,54,1,13.8,MX,1612152728
171,east london,-33.0153,27.9116,66.2,94,90,14.97,ZA,1612152451
172,geraldton,-28.7667,114.6,102.2,14,0,21.85,AU,1612152268
173,ahipara,-35.1667,173.1667,68.85,63,9,7.83,NZ,1612152729
174,landerneau,48.4525,-4.2525,51.8,100,90,13.8,FR,1612152729
175,evensk,61.95,159.2333,-9.06,88,100,19.64,RU,1612152471
176,east london,-33.0153,27.9116,66.2,94,90,14.97,ZA,1612152451
177,vila velha,-20.3297,-40.2925,77.0,83,20,6.91,BR,1612152466
178,panalingaan,8.7842,117.4231,83.88,65,100,7.43,PH,1612152729
179,akyab,20.15,92.9,71.87,27,1,7.02,MM,1612152730
180,sungaipenuh,-2.0833,101.3833,78.21,67,80,1.7,ID,1612152430
181,basco,20.4487,121.9702,73.04,78,23,14.14,PH,1612152485
182,tigil,57.8,158.6667,-0.24,92,100,19.26,RU,1612152509
183,uddevalla,58.3478,11.9424,21.2,93,90,2.3,SE,1612152730
184,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
185,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
186,san cristobal,7.7669,-72.225,66.52,72,98,2.53,VE,1612152550
187,airai,-8.9266,125.4092,71.11,80,90,6.62,TL,1612152467
188,davila,18.4726,120.5763,80.6,65,75,5.75,PH,1612152731
189,tomatlan,19.9333,-105.25,66.54,90,0,1.92,MX,1612152731
190,kurdzhinovo,43.9884,40.9552,36.54,78,97,5.41,RU,1612152731
191,volchansk,59.9378,60.081,18.37,97,100,10.65,RU,1612152731
192,kavaratti,10.5669,72.642,81.41,75,2,13.0,IN,1612152487
193,port elizabeth,-33.918,25.5701,66.2,77,40,16.11,ZA,1612152398
194,mildura,-34.2,142.15,82.99,22,40,10.36,AU,1612152732
195,cherskiy,68.75,161.3,-10.12,83,98,7.67,RU,1612152440
196,progreso,21.2833,-89.6667,73.4,83,40,11.92,MX,1612152733
197,nikolskoye,59.7035,30.7861,24.8,86,75,11.18,RU,1612152441
198,guerrero negro,27.9769,-114.0611,64.04,56,100,2.39,MX,1612152167
199,buraydah,26.326,43.975,51.8,62,0,5.75,SA,1612152733
200,new norfolk,-42.7826,147.0587,75.99,44,100,1.99,AU,1612152437
201,katima mulilo,-17.5,24.2667,68.04,94,100,4.85,NA,1612152733
202,mahebourg,-20.4081,57.7,82.4,74,40,11.5,MU,1612152349
203,san patricio,28.017,-97.5169,57.99,51,1,5.75,US,1612152497
204,husavik,66.0449,-17.3389,-5.8,77,0,4.61,IS,1612152492
205,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
206,najran,17.4924,44.1277,51.8,58,0,0.89,SA,1612152734
207,loiza,18.4313,-65.8802,75.2,83,40,13.2,PR,1612152734
208,port elizabeth,-33.918,25.5701,66.2,77,40,16.11,ZA,1612152398
209,macau,22.2006,113.5461,71.6,73,20,6.91,MO,1612152735
210,praia da vitoria,38.7333,-27.0667,64.4,100,75,30.89,PT,1612152494
211,port-gentil,-0.7193,8.7815,80.6,75,66,3.65,GA,1612152507
212,port elizabeth,-33.918,25.5701,66.2,77,40,16.11,ZA,1612152398
213,college,64.8569,-147.8028,-5.8,77,90,2.86,US,1612152494
214,clyde river,70.4692,-68.5914,-4.0,84,90,26.46,CA,1612152438
215,corner brook,48.9667,-57.9484,26.6,68,90,5.75,CA,1612152735
216,maine-soroa,13.2114,12.0241,66.0,24,16,9.13,NE,1612152736
217,mar del plata,-38.0023,-57.5575,64.0,72,75,10.36,AR,1612152415
218,suhbaatar,50.2314,106.2078,-13.81,81,0,4.81,MN,1612152736
219,sinnamary,5.3833,-52.95,77.45,82,96,13.82,GF,1612152507
220,bambous virieux,-20.3428,57.7575,82.4,74,40,11.5,MU,1612152483
221,lima,-12.0432,-77.0282,73.0,77,0,10.36,PE,1612152441
222,shimoda,34.6667,138.95,50.0,71,20,10.36,JP,1612152736
223,preobrazheniye,42.9019,133.9064,35.94,90,100,11.83,RU,1612152481
224,souillac,-20.5167,57.5167,82.4,74,40,11.5,MU,1612152452
225,bulawayo,-20.15,28.5833,64.67,94,95,3.96,ZW,1612152737
226,bambous virieux,-20.3428,57.7575,82.4,74,40,11.5,MU,1612152483
227,ostrovnoy,68.0531,39.5131,11.55,94,87,3.69,RU,1612152442
228,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
229,itum-kale,42.7356,45.5758,41.4,56,12,5.46,RU,1612152738
230,dandong,40.1292,124.3947,25.68,90,16,16.33,CN,1612152738
231,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
232,longyearbyen,78.2186,15.6401,6.8,33,75,12.66,SJ,1612152255
233,bairiki,1.3292,172.9752,84.2,74,20,12.66,KI,1612152511
234,alofi,-19.0595,-169.9187,78.8,89,90,9.22,NU,1612152538
235,guerrero negro,27.9769,-114.0611,64.04,56,100,2.39,MX,1612152167
236,luderitz,-26.6481,15.1594,65.26,79,0,17.58,NA,1612152358
237,viljoenskroon,-27.2084,26.9485,59.0,95,3,1.45,ZA,1612152739
238,saint-georges,12.0564,-61.7485,80.6,74,40,19.57,GD,1612152739
239,iqaluit,63.7506,-68.5145,5.0,72,90,9.22,CA,1612152424
240,vardo,70.3705,31.1107,23.0,86,75,5.75,NO,1612152451
241,portland,45.5234,-122.6762,48.99,81,90,4.61,US,1612152170
242,celestun,20.8667,-90.4,71.98,81,0,12.95,MX,1612152739
243,clyde river,70.4692,-68.5914,-4.0,84,90,26.46,CA,1612152438
244,great yarmouth,52.6083,1.7305,39.0,93,90,6.91,GB,1612152548
245,port alfred,-33.5906,26.891,66.99,86,89,5.01,ZA,1612152212
246,san policarpo,12.1791,125.5072,80.19,83,97,15.01,PH,1612152442
247,kuito,-12.3833,16.9333,57.97,93,100,5.77,AO,1612152740
248,yar-sale,66.8333,70.8333,-11.13,90,100,8.72,RU,1612152632
249,erice,38.037,12.5865,59.0,72,40,18.41,IT,1612152740
250,ribeira grande,38.5167,-28.7,63.46,84,95,33.31,PT,1612152247
251,ribeira grande,38.5167,-28.7,63.46,84,95,33.31,PT,1612152247
252,vila franca do campo,37.7167,-25.4333,62.01,88,75,20.71,PT,1612152549
253,fort nelson,58.8053,-122.7002,-7.6,77,90,2.3,CA,1612152339
254,vagur,61.4732,-6.8119,35.31,83,95,17.6,FO,1612152741
255,moose factory,51.2585,-80.6094,3.2,92,90,4.61,CA,1612152741
256,east london,-33.0153,27.9116,66.2,94,90,14.97,ZA,1612152451
257,fraga,41.5229,0.3489,51.01,81,0,13.8,ES,1612152741
258,pocatello,42.8713,-112.4455,28.99,86,1,4.61,US,1612152741
259,lasa,46.6166,10.7002,37.0,100,90,4.61,IT,1612152444
260,arraial do cabo,-22.9661,-42.0278,76.37,86,100,25.37,BR,1612152141
261,kalabo,-14.97,22.6814,65.79,95,100,5.48,ZM,1612152742
262,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
263,grand gaube,-20.0064,57.6608,82.0,78,16,10.0,MU,1612152463
264,lavrentiya,65.5833,-171.0,-6.83,86,100,18.3,RU,1612152506
265,bloomfield,40.8068,-74.1854,24.01,86,90,6.91,US,1612152682
266,kabanjahe,3.1001,98.4908,86.0,79,40,4.12,ID,1612152743
267,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
268,constitucion,-35.3333,-72.4167,56.68,89,6,8.79,CL,1612152356
269,laguna de perlas,12.3429,-83.6712,76.62,87,3,9.22,NI,1612152744
270,ponta do sol,32.6667,-17.1,55.99,52,0,1.99,PT,1612152462
271,albstadt,48.2164,9.026,39.0,10,100,5.99,DE,1612152744
272,praia da vitoria,38.7333,-27.0667,64.4,100,75,30.89,PT,1612152494
273,arraial do cabo,-22.9661,-42.0278,76.37,86,100,25.37,BR,1612152141
274,torbay,47.6666,-52.7314,30.0,93,90,21.85,CA,1612152472
275,bambous virieux,-20.3428,57.7575,82.4,74,40,11.5,MU,1612152483
276,halifax,44.6453,-63.5724,28.4,80,22,5.75,CA,1612152348
277,pacific grove,36.6177,-121.9166,54.0,82,1,5.68,US,1612152745
278,bilimbay,56.9689,59.8149,15.8,100,96,6.71,RU,1612152745
279,visnes,59.3556,5.2242,24.8,93,12,5.75,NO,1612152504
280,cayenne,4.9333,-52.3333,78.8,83,75,8.05,GF,1612152484
281,asau,46.4333,26.4,28.99,73,100,2.86,RO,1612152457
282,meulaboh,4.1363,96.1285,86.0,62,43,0.89,ID,1612152430
283,east london,-33.0153,27.9116,66.2,94,90,14.97,ZA,1612152451
284,port hedland,-20.3167,118.5667,78.8,100,90,21.85,AU,1612152704
285,normandin,48.8333,-72.5321,-2.2,78,32,0.83,CA,1612152746
286,faya,18.3851,42.4509,51.8,57,0,3.44,SA,1612152746
287,yuanping,38.7153,112.7575,32.43,60,0,17.49,CN,1612152746
288,sistranda,63.7256,8.834,28.4,80,20,12.66,NO,1612152746
289,kruisfontein,-34.0033,24.7314,62.01,94,73,1.99,ZA,1612152387
290,coquimbo,-29.9533,-71.3436,64.4,88,75,3.44,CL,1612152438
291,ellensburg,46.9965,-120.5479,42.8,75,90,3.44,US,1612152611
292,kurumkan,54.3,110.3,-19.7,79,73,1.34,RU,1612152747
293,springfield,37.2153,-93.2982,32.0,86,90,12.66,US,1612152378
294,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
295,batticaloa,7.7102,81.6924,81.39,77,1,12.21,LK,1612152748
296,ribeira grande,38.5167,-28.7,63.46,84,95,33.31,PT,1612152247
297,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
298,sabang,5.8933,95.3214,81.36,80,55,19.13,ID,1612152748
299,ribeira grande,38.5167,-28.7,63.46,84,95,33.31,PT,1612152247
300,samarai,-10.6167,150.6667,84.9,72,70,10.0,PG,1612152748
301,athabasca,54.7169,-113.2854,5.0,78,36,6.91,CA,1612152736
302,cabo san lucas,22.8909,-109.9124,66.0,88,20,1.43,MX,1612152495
303,mahibadhoo,3.7833,72.9667,82.31,77,82,15.84,MV,1612152749
304,provideniya,64.3833,-173.3,-0.29,90,100,24.9,RU,1612152461
305,port moresby,-9.4431,147.1797,80.6,83,75,20.71,PG,1612152542
306,west bay,19.3667,-81.4167,78.01,73,20,5.75,KY,1612152749
307,grand gaube,-20.0064,57.6608,82.0,78,16,10.0,MU,1612152463
308,margate,51.3813,1.3862,41.0,91,100,1.01,GB,1612152375
309,waipawa,-41.4122,175.5153,64.4,77,0,12.66,NZ,1612152750
310,coihaique,-45.5752,-72.0662,57.2,62,0,4.61,CL,1612152750
311,tabuk,17.4189,121.4443,76.55,69,38,3.18,PH,1612152750
312,gazanjyk,39.2446,55.5154,45.5,64,50,4.56,TM,1612152750
313,bilibino,68.0546,166.4372,-5.06,85,100,12.06,RU,1612152492
314,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
315,kincardine,56.0667,-3.7167,28.99,93,20,1.14,GB,1612152751
316,clyde river,70.4692,-68.5914,-4.0,84,90,26.46,CA,1612152438
317,willowmore,-33.2926,23.4895,57.79,72,66,10.2,ZA,1612152751
318,nizhniy tsasuchey,50.5167,115.1333,-12.41,78,0,14.63,RU,1612152730
319,toamasina,-18.1667,49.3833,80.6,89,40,5.75,MG,1612152752
320,puerto ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612152440
321,bayir,37.2687,28.2167,59.0,67,75,13.8,TR,1612152541
322,east london,-33.0153,27.9116,66.2,94,90,14.97,ZA,1612152451
323,cape town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612152253
324,touros,-5.1989,-35.4608,78.8,83,40,5.75,BR,1612152438
325,port alfred,-33.5906,26.891,66.99,86,89,5.01,ZA,1612152212
326,bagdarin,54.4333,113.6,-18.96,74,99,4.14,RU,1612152753
327,san patricio,28.017,-97.5169,57.99,51,1,5.75,US,1612152497
328,euclides da cunha,-10.5075,-39.0158,69.46,92,83,7.78,BR,1612152669
329,agadez,19.75,10.25,54.27,33,0,4.0,NE,1612152753
330,riyadh,24.6877,46.7219,55.4,33,0,4.25,SA,1612152485
331,guerrero negro,27.9769,-114.0611,64.04,56,100,2.39,MX,1612152167
332,kimbe,-5.5502,150.1429,85.82,67,70,7.16,PG,1612152754
333,east london,-33.0153,27.9116,66.2,94,90,14.97,ZA,1612152451
334,cabo san lucas,22.8909,-109.9124,66.0,88,20,1.43,MX,1612152495
335,manggar,-2.8833,108.2667,84.42,71,100,11.03,ID,1612152754
336,saint george,37.1041,-113.5841,48.99,46,1,3.44,US,1612152395
337,mogadishu,2.0371,45.3438,73.4,73,20,12.66,SO,1612152754
338,guerrero negro,27.9769,-114.0611,64.04,56,100,2.39,MX,1612152167
339,nirsa,23.7833,86.7167,64.99,67,0,8.05,IN,1612152755
340,dingle,10.9995,122.6711,83.46,72,39,13.82,PH,1612152329
341,silifke,36.3778,33.9344,54.43,72,98,12.3,TR,1612152755
342,bermeo,43.4209,-2.7215,59.0,63,40,14.97,ES,1612152756
343,suntar,62.1444,117.6319,-32.75,82,71,4.05,RU,1612152536
344,korla,41.7597,86.1469,28.96,74,81,4.72,CN,1612152756
345,chara,56.9064,118.2631,-30.6,74,99,3.2,RU,1612152757
346,guerrero negro,27.9769,-114.0611,64.04,56,100,2.39,MX,1612152167
347,novyy urengoy,66.0833,76.6333,-13.32,89,51,7.74,RU,1612152757
348,santa rosa,14.3122,121.1114,84.0,61,40,5.75,PH,1612152757
349,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
350,plettenberg bay,-34.0527,23.3716,63.36,77,99,10.07,ZA,1612152500
351,ribeira grande,38.5167,-28.7,63.46,84,95,33.31,PT,1612152247
352,fairbanks,64.8378,-147.7164,-5.8,77,90,2.64,US,1612152295
353,new norfolk,-42.7826,147.0587,75.99,44,100,1.99,AU,1612152437
354,dinard,48.6314,-2.0614,50.0,93,90,5.75,FR,1612152758
355,ishigaki,24.3448,124.1572,75.2,57,40,12.66,JP,1612152758
356,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
357,half moon bay,37.4636,-122.4286,55.4,67,40,5.75,US,1612152361
358,roebourne,-20.7833,117.1333,81.18,70,100,18.16,AU,1612152586
359,orasje,45.0356,18.6933,32.0,100,75,8.05,BA,1612152759
360,lompoc,34.6391,-120.4579,53.6,71,1,3.49,US,1612152467
361,dikson,73.5069,80.5464,-24.95,80,97,9.04,RU,1612152499
362,volchikha,52.0333,80.3833,8.04,94,100,4.34,RU,1612152760
363,saint-joseph,-21.3667,55.6167,84.2,65,0,20.71,RE,1612152760
364,punta arenas,-53.15,-70.9167,53.6,62,90,31.07,CL,1612152403
365,east london,-33.0153,27.9116,66.2,94,90,14.97,ZA,1612152451
